Date,Away,Points,Home,Points
Nov. 10,Cleveland Cavaliers,118,Utah Jazz,114
Nov. 10,Miami Heat,101,Los Angeles Lakers,88
Nov. 10,Milwaukee Bucks,83,Boston Celtics,99
Nov. 10,Minnesota Timberwolves,95,Charlotte Hornets,104
Nov. 10,New Orleans Pelicans,120,Dallas Mavericks,105
Nov. 10,Toronto Raptors,109,New York Knicks,111
Nov. 10,Washington Wizards,101,Oklahoma City Thunder,125
Nov. 11,Atlanta Hawks,106,New Orleans Pelicans,98
Nov. 11,Boston Celtics,91,Indiana Pacers,102
Nov. 11,Charlotte Hornets,95,New York Knicks,93
Nov. 11,Dallas Mavericks,118,Los Angeles Clippers,108
Nov. 11,Denver Nuggets,103,Milwaukee Bucks,102
Nov. 11,Houston Rockets,98,Brooklyn Nets,106
Nov. 11,Memphis Grizzlies,84,Golden State Warriors,100
Nov. 11,Orlando Magic,101,Los Angeles Lakers,99
Nov. 11,Philadelphia 76ers,103,Toronto Raptors,119
Nov. 11,Portland Trail Blazers,101,San Antonio Spurs,113
Nov. 11,Sacramento Kings,101,Detroit Pistons,92
Nov. 12,Miami Heat,92,Utah Jazz,91
Nov. 12,Minnesota Timberwolves,116,Golden State Warriors,129
Nov. 12,Phoenix Suns,118,Los Angeles Clippers,104
Nov. 13,Boston Celtics,106,Atlanta Hawks,93
Nov. 13,Chicago Bulls,102,Charlotte Hornets,97
Nov. 13,Dallas Mavericks,90,Los Angeles Lakers,82
Nov. 13,Denver Nuggets,107,Houston Rockets,98
Nov. 13,Indiana Pacers,107,Minnesota Timberwolves,103
Nov. 13,Memphis Grizzlies,101,Portland Trail Blazers,100
Nov. 13,New York Knicks,84,Cleveland Cavaliers,90
Nov. 13,Oklahoma City Thunder,102,Philadelphia 76ers,85
Nov. 13,Orlando Magic,102,Utah Jazz,93
Nov. 13,Sacramento Kings,111,Brooklyn Nets,109
Nov. 13,Toronto Raptors,100,New Orleans Pelicans,81
Nov. 14,Golden State Warriors,107,Brooklyn Nets,99
Nov. 14,Houston Rockets,98,Dallas Mavericks,110
Nov. 14,Los Angeles Clippers,101,Detroit Pistons,96
Nov. 14,Milwaukee Bucks,108,Cleveland Cavaliers,105
Nov. 14,Phoenix Suns,105,Denver Nuggets,81
Nov. 14,San Antonio Spurs,92,Philadelphia 76ers,83
Nov. 14,Washington Wizards,108,Orlando Magic,99
Nov. 15,Atlanta Hawks,96,Utah Jazz,97
Nov. 15,Charlotte Hornets,106,Portland Trail Blazers,94
Nov. 15,Los Angeles Lakers,97,Detroit Pistons,85
Nov. 15,Minnesota Timberwolves,106,Memphis Grizzlies,114
Nov. 15,New York Knicks,95,New Orleans Pelicans,87
Nov. 15,Oklahoma City Thunder,85,Boston Celtics,100
Nov. 15,Sacramento Kings,107,Toronto Raptors,101
Nov. 16,Chicago Bulls,96,Indiana Pacers,95
Nov. 16,Houston Rockets,95,Boston Celtics,111
Nov. 16,Memphis Grizzlies,122,Oklahoma City Thunder,114
Nov. 16,Philadelphia 76ers,86,Dallas Mavericks,92
Nov. 16,Phoenix Suns,120,Los Angeles Lakers,101
Nov. 16,San Antonio Spurs,93,Portland Trail Blazers,80
Nov. 17,Brooklyn Nets,90,Atlanta Hawks,88
Nov. 17,Detroit Pistons,104,Cleveland Cavaliers,99
Nov. 17,Golden State Warriors,115,Toronto Raptors,110
Nov. 17,Miami Heat,91,Minnesota Timberwolves,103
Nov. 17,New Orleans Pelicans,98,Denver Nuggets,115
Nov. 17,New York Knicks,102,Charlotte Hornets,94
Nov. 17,Washington Wizards,115,Milwaukee Bucks,86
Nov. 18,Atlanta Hawks,103,Sacramento Kings,97
Nov. 18,Boston Celtics,102,Dallas Mavericks,106
Nov. 18,Charlotte Hornets,116,Brooklyn Nets,111
Nov. 18,Houston Rockets,108,Portland Trail Blazers,103
Nov. 18,Oklahoma City Thunder,110,New Orleans Pelicans,103
Nov. 18,Orlando Magic,104,Minnesota Timberwolves,101
Nov. 18,Philadelphia 76ers,85,Indiana Pacers,112
Nov. 18,Phoenix Suns,97,Chicago Bulls,103
Nov. 18,San Antonio Spurs,109,Denver Nuggets,98
Nov. 18,Utah Jazz,93,Toronto Raptors,89
Nov. 19,Cleveland Cavaliers,115,Milwaukee Bucks,100
Nov. 19,Los Angeles Clippers,117,Golden State Warriors,124
Nov. 19,Miami Heat,116,Sacramento Kings,109
Nov. 20,Boston Celtics,120,Brooklyn Nets,95
Nov. 20,Charlotte Hornets,113,Philadelphia 76ers,88
Nov. 20,Dallas Mavericks,102,Utah Jazz,93
Nov. 20,Denver Nuggets,107,Phoenix Suns,114
Nov. 20,Golden State Warriors,106,Chicago Bulls,94
Nov. 20,Los Angeles Lakers,91,Toronto Raptors,102
Nov. 20,Memphis Grizzlies,96,Houston Rockets,84
Nov. 20,Minnesota Timberwolves,86,Detroit Pistons,96
Nov. 20,New Orleans Pelicans,104,San Antonio Spurs,90
Nov. 20,Oklahoma City Thunder,90,New York Knicks,93
Nov. 20,Portland Trail Blazers,102,Los Angeles Clippers,91
Nov. 21,Cleveland Cavaliers,109,Atlanta Hawks,97
Nov. 21,Detroit Pistons,95,Washington Wizards,97
Nov. 21,Houston Rockets,102,New York Knicks,107
Nov. 21,Indiana Pacers,123,Milwaukee Bucks,86
Nov. 21,Miami Heat,96,Philadelphia 76ers,91
Nov. 21,Orlando Magic,91,Sacramento Kings,97
Nov. 21,San Antonio Spurs,92,Memphis Grizzlies,82
Nov. 22,Brooklyn Nets,111,Boston Celtics,101
Nov. 22,Denver Nuggets,105,Golden State Warriors,118
Nov. 22,Los Angeles Clippers,80,Toronto Raptors,91
Nov. 22,Los Angeles Lakers,93,Portland Trail Blazers,107
Nov. 22,New Orleans Pelicans,122,Phoenix Suns,116
Nov. 22,Oklahoma City Thunder,117,Dallas Mavericks,114
Nov. 23,Charlotte Hornets,127,Sacramento Kings,122
Nov. 23,Cleveland Cavaliers,117,Orlando Magic,103
Nov. 23,Miami Heat,95,New York Knicks,78
Nov. 23,Milwaukee Bucks,109,Detroit Pistons,88
Nov. 23,Minnesota Timberwolves,100,Philadelphia 76ers,95
Nov. 23,San Antonio Spurs,98,Phoenix Suns,84
Nov. 23,Utah Jazz,89,Oklahoma City Thunder,111
Nov. 24,Atlanta Hawks,121,Boston Celtics,97
Nov. 24,Denver Nuggets,94,Los Angeles Clippers,111
Nov. 24,Golden State Warriors,111,Los Angeles Lakers,77
Nov. 24,Memphis Grizzlies,110,Dallas Mavericks,96
Nov. 24,Portland Trail Blazers,88,Chicago Bulls,93
Nov. 24,Washington Wizards,106,Indiana Pacers,123
Nov. 25,Boston Celtics,84,Philadelphia 76ers,80
Nov. 25,Charlotte Hornets,101,Washington Wizards,87
Nov. 25,Detroit Pistons,104,Miami Heat,81
Nov. 25,Houston Rockets,93,Memphis Grizzlies,102
Nov. 25,Los Angeles Clippers,91,Utah Jazz,102
Nov. 25,Milwaukee Bucks,118,Sacramento Kings,129
Nov. 25,Minnesota Timberwolves,99,Atlanta Hawks,95
Nov. 25,Oklahoma City Thunder,110,Brooklyn Nets,99
Nov. 25,Orlando Magic,100,New York Knicks,91
Nov. 25,Phoenix Suns,114,New Orleans Pelicans,120
Nov. 25,San Antonio Spurs,88,Dallas Mavericks,83
Nov. 25,Toronto Raptors,103,Cleveland Cavaliers,99
Nov. 27,Boston Celtics,111,Washington Wizards,78
Nov. 27,Charlotte Hornets,90,Cleveland Cavaliers,95
Nov. 27,Denver Nuggets,80,San Antonio Spurs,91
Nov. 27,Houston Rockets,116,Philadelphia 76ers,114
Nov. 27,Indiana Pacers,104,Chicago Bulls,92
Nov. 27,Los Angeles Clippers,111,New Orleans Pelicans,90
Nov. 27,Memphis Grizzlies,101,Atlanta Hawks,116
Nov. 27,New York Knicks,78,Miami Heat,97
Nov. 27,Oklahoma City Thunder,103,Detroit Pistons,87
Nov. 27,Orlando Magic,114,Milwaukee Bucks,90
Nov. 27,Phoenix Suns,116,Golden State Warriors,135
Nov. 27,Sacramento Kings,91,Minnesota Timberwolves,101
Nov. 28,Cleveland Cavaliers,90,Brooklyn Nets,88
Nov. 28,Dallas Mavericks,92,Denver Nuggets,81
Nov. 28,Golden State Warriors,120,Sacramento Kings,101
Nov. 28,Portland Trail Blazers,108,Los Angeles Lakers,96
Nov. 28,San Antonio Spurs,108,Atlanta Hawks,88
Nov. 28,Utah Jazz,101,New Orleans Pelicans,87
Nov. 28,Washington Wizards,82,Toronto Raptors,84
Nov. 29,Brooklyn Nets,87,Detroit Pistons,83
Nov. 29,Charlotte Hornets,87,Milwaukee Bucks,82
Nov. 29,Los Angeles Clippers,107,Minnesota Timberwolves,99
Nov. 29,Los Angeles Lakers,103,Indiana Pacers,107
Nov. 29,Memphis Grizzlies,92,Philadelphia 76ers,84
Nov. 29,New York Knicks,111,Houston Rockets,116
Nov. 29,Orlando Magic,110,Boston Celtics,91
Nov. 29,Toronto Raptors,102,Phoenix Suns,107
Nov. 30,Atlanta Hawks,106,Oklahoma City Thunder,100
Nov. 30,Chicago Bulls,92,San Antonio Spurs,89
Nov. 30,Detroit Pistons,116,Houston Rockets,105
Nov. 30,Los Angeles Clippers,102,Portland Trail Blazers,87
Nov. 30,Miami Heat,95,Boston Celtics,105
Nov. 30,Milwaukee Bucks,92,Denver Nuggets,74
Nov. 30,Sacramento Kings,112,Dallas Mavericks,98
Nov. 30,Utah Jazz,103,Golden State Warriors,106
Dec. 1,Brooklyn Nets,94,Phoenix Suns,91
Dec. 1,Cleveland Cavaliers,85,Washington Wizards,97
Dec. 1,Minnesota Timberwolves,93,Orlando Magic,96
Dec. 1,New Orleans Pelicans,104,Memphis Grizzlies,113
Dec. 1,Philadelphia 76ers,103,Los Angeles Lakers,91
Dec. 1,Portland Trail Blazers,112,Dallas Mavericks,115
Dec. 2,Atlanta Hawks,86,Toronto Raptors,96
Dec. 2,Chicago Bulls,99,Denver Nuggets,90
Dec. 2,Charlotte Hornets,99,Golden State Warriors,116
Dec. 2,Detroit Pistons,127,Phoenix Suns,122
Dec. 2,Houston Rockets,108,New Orleans Pelicans,101
Dec. 2,Los Angeles Clippers,91,Indiana Pacers,103
Dec. 2,New York Knicks,99,Philadelphia 76ers,87
Dec. 2,San Antonio Spurs,95,Milwaukee Bucks,70
Dec. 2,Washington Wizards,104,Los Angeles Lakers,108
Dec. 3,Memphis Grizzlies,83,San Antonio Spurs,103
Dec. 3,Miami Heat,97,Oklahoma City Thunder,95
Dec. 3,Portland Trail Blazers,123,Indiana Pacers,111
Dec. 3,Sacramento Kings,97,Boston Celtics,114
Dec. 3,Toronto Raptors,105,Denver Nuggets,106
Dec. 3,Utah Jazz,94,Orlando Magic,103
Dec. 4,Atlanta Hawks,100,Los Angeles Lakers,87
Dec. 4,Dallas Mavericks,96,Houston Rockets,100
Dec. 4,Detroit Pistons,102,Milwaukee Bucks,95
Dec. 4,New Orleans Pelicans,114,Cleveland Cavaliers,108
Dec. 4,New York Knicks,108,Brooklyn Nets,91
Dec. 4,Washington Wizards,109,Phoenix Suns,106
Dec. 5,Chicago Bulls,96,Charlotte Hornets,102
Dec. 5,Houston Rockets,120,Sacramento Kings,113
Dec. 5,Los Angeles Clippers,103,Orlando Magic,101
Dec. 5,Miami Heat,99,Cleveland Cavaliers,84
Dec. 5,Milwaukee Bucks,106,New York Knicks,91
Dec. 5,Minnesota Timberwolves,103,Portland Trail Blazers,109
Dec. 5,Philadelphia 76ers,105,Denver Nuggets,108
Dec. 5,San Antonio Spurs,108,Boston Celtics,105
Dec. 5,Toronto Raptors,109,Golden State Warriors,112
Dec. 5,Utah Jazz,122,Indiana Pacers,119
Dec. 6,Brooklyn Nets,98,Golden State Warriors,114
Dec. 6,Detroit Pistons,111,Los Angeles Lakers,91
Dec. 6,Memphis Grizzlies,95,Phoenix Suns,93
Dec. 6,Oklahoma City Thunder,98,Sacramento Kings,95
Dec. 6,Washington Wizards,104,Dallas Mavericks,116
Dec. 7,Chicago Bulls,101,Phoenix Suns,103
Dec. 7,Charlotte Hornets,104,Detroit Pistons,84
Dec. 7,Miami Heat,103,Washington Wizards,114
Dec. 7,Milwaukee Bucks,90,Portland Trail Blazers,88
Dec. 7,Minnesota Timberwolves,106,Los Angeles Clippers,110
Dec. 7,New Orleans Pelicans,93,Boston Celtics,111
Dec. 7,New York Knicks,97,Dallas Mavericks,104
Dec. 7,Philadelphia 76ers,68,San Antonio Spurs,119
Dec. 7,Toronto Raptors,102,Los Angeles Lakers,93
Dec. 8,Brooklyn Nets,110,Houston Rockets,105
Dec. 8,Cleveland Cavaliers,105,Portland Trail Blazers,100
Dec. 8,Denver Nuggets,74,Orlando Magic,85
Dec. 8,Indiana Pacers,123,Golden State Warriors,131
Dec. 8,Memphis Grizzlies,88,Oklahoma City Thunder,125
Dec. 8,Sacramento Kings,114,Utah Jazz,106
Dec. 9,Boston Celtics,105,Chicago Bulls,100
Dec. 9,Charlotte Hornets,99,Miami Heat,81
Dec. 9,Dallas Mavericks,95,Atlanta Hawks,98
Dec. 9,Detroit Pistons,92,Memphis Grizzlies,93
Dec. 9,Milwaukee Bucks,95,Los Angeles Clippers,109
Dec. 9,Minnesota Timberwolves,123,Los Angeles Lakers,122
Dec. 9,Phoenix Suns,107,Orlando Magic,104
Dec. 9,Toronto Raptors,97,San Antonio Spurs,94
Dec. 9,Utah Jazz,106,New York Knicks,85
Dec. 9,Washington Wizards,103,Houston Rockets,109
Dec. 10,Brooklyn Nets,100,Philadelphia 76ers,91
Dec. 10,Chicago Bulls,83,Los Angeles Clippers,80
Dec. 10,Oklahoma City Thunder,107,Atlanta Hawks,94
Dec. 10,Sacramento Kings,99,New York Knicks,97
