Date,Away,Points,Home,Points
Dec. 28,Golden State Warriors,122,Sacramento Kings,103
Dec. 28,Indiana Pacers,93,Atlanta Hawks,87
Dec. 28,Miami Heat,105,Brooklyn Nets,111
Dec. 28,Orlando Magic,104,New Orleans Pelicans,89
Dec. 28,Phoenix Suns,97,Cleveland Cavaliers,101
Dec. 28,San Antonio Spurs,101,Minnesota Timberwolves,95
Dec. 28,Utah Jazz,95,Philadelphia 76ers,91
Dec. 28,Washington Wizards,91,Los Angeles Clippers,108
Dec. 29,Denver Nuggets,87,Cleveland Cavaliers,93
Dec. 29,Houston Rockets,115,Atlanta Hawks,121
Dec. 29,Memphis Grizzlies,99,Miami Heat,90
Dec. 29,New York Knicks,108,Detroit Pistons,96
Dec. 29,Oklahoma City Thunder,131,Milwaukee Bucks,123
Dec. 30,Boston Celtics,104,Los Angeles Lakers,112
Dec. 30,Chicago Bulls,102,Indiana Pacers,100
Dec. 30,Charlotte Hornets,117,Los Angeles Clippers,122
Dec. 30,Dallas Mavericks,114,Golden State Warriors,91
Dec. 30,Minnesota Timberwolves,94,Utah Jazz,80
Dec. 30,Orlando Magic,100,Brooklyn Nets,93
Dec. 30,Portland Trail Blazers,110,Denver Nuggets,103
Dec. 30,Sacramento Kings,105,Philadelphia 76ers,110
Dec. 30,San Antonio Spurs,112,Phoenix Suns,79
Dec. 30,Toronto Raptors,94,Washington Wizards,91
Dec. 31,Detroit Pistons,115,Minnesota Timberwolves,90
Dec. 31,Houston Rockets,110,Golden State Warriors,114
Dec. 31,Indiana Pacers,116,Milwaukee Bucks,120
Dec. 31,New Orleans Pelicans,89,Los Angeles Clippers,95
Dec. 31,Oklahoma City Thunder,110,Phoenix Suns,106
Dec. 31,Utah Jazz,109,Portland Trail Blazers,96
Jan. 1,Chicago Bulls,108,New York Knicks,81
Jan. 1,Los Angeles Lakers,93,Philadelphia 76ers,84
Jan. 1,Miami Heat,106,Dallas Mavericks,82
Jan. 1,Toronto Raptors,104,Charlotte Hornets,94
Jan. 1,Washington Wizards,103,Orlando Magic,91
Jan. 2,Boston Celtics,97,Brooklyn Nets,100
Jan. 2,Charlotte Hornets,90,Oklahoma City Thunder,109
Jan. 2,Cleveland Cavaliers,104,Orlando Magic,79
Jan. 2,Dallas Mavericks,98,New Orleans Pelicans,105
Jan. 2,Golden State Warriors,111,Denver Nuggets,108
Jan. 2,Indiana Pacers,94,Detroit Pistons,82
Jan. 2,Los Angeles Clippers,130,Philadelphia 76ers,99
Jan. 2,Minnesota Timberwolves,85,Milwaukee Bucks,95
Jan. 2,Sacramento Kings,142,Phoenix Suns,119
Jan. 2,San Antonio Spurs,121,Houston Rockets,103
Jan. 2,Utah Jazz,92,Memphis Grizzlies,87
Jan. 3,Denver Nuggets,106,Portland Trail Blazers,112
Jan. 3,Los Angeles Lakers,97,Phoenix Suns,77
Jan. 3,New York Knicks,111,Atlanta Hawks,97
Jan. 3,Toronto Raptors,113,Chicago Bulls,115
Jan. 3,Washington Wizards,75,Miami Heat,97
Jan. 4,Brooklyn Nets,94,Boston Celtics,103
Jan. 4,Cleveland Cavaliers,122,Toronto Raptors,100
Jan. 4,Detroit Pistons,115,Orlando Magic,89
Jan. 4,Golden State Warriors,111,Charlotte Hornets,101
Jan. 4,Miami Heat,103,Indiana Pacers,100
Jan. 4,Milwaukee Bucks,98,San Antonio Spurs,123
Jan. 4,Oklahoma City Thunder,104,Sacramento Kings,116
Jan. 4,Philadelphia 76ers,109,Minnesota Timberwolves,99
Jan. 4,Portland Trail Blazers,78,Memphis Grizzlies,91
Jan. 4,Utah Jazz,91,Houston Rockets,93
Jan. 5,Atlanta Hawks,101,New York Knicks,107
Jan. 5,Chicago Bulls,117,Milwaukee Bucks,106
Jan. 5,Dallas Mavericks,117,Sacramento Kings,116
Jan. 5,Los Angeles Lakers,88,Golden State Warriors,109
Jan. 6,Boston Celtics,94,Detroit Pistons,99
Jan. 6,Brooklyn Nets,74,Toronto Raptors,91
Jan. 6,Miami Heat,90,New York Knicks,98
Jan. 6,Minnesota Timberwolves,74,Denver Nuggets,78
Jan. 6,New Orleans Pelicans,91,Dallas Mavericks,100
Jan. 6,Oklahoma City Thunder,112,Memphis Grizzlies,94
Jan. 6,Orlando Magic,86,Indiana Pacers,95
Jan. 6,Phoenix Suns,111,Charlotte Hornets,102
Jan. 6,Portland Trail Blazers,98,Los Angeles Clippers,109
Jan. 6,San Antonio Spurs,123,Utah Jazz,98
Jan. 6,Washington Wizards,115,Cleveland Cavaliers,121
Jan. 7,Chicago Bulls,101,Boston Celtics,92
Jan. 7,Houston Rockets,103,Utah Jazz,94
Jan. 7,Philadelphia 76ers,98,Atlanta Hawks,126
Jan. 7,Sacramento Kings,118,Los Angeles Lakers,115
Jan. 8,Brooklyn Nets,77,Orlando Magic,83
Jan. 8,Los Angeles Lakers,113,Oklahoma City Thunder,117
Jan. 8,Memphis Grizzlies,91,Denver Nuggets,84
Jan. 8,Milwaukee Bucks,96,Dallas Mavericks,95
Jan. 8,Minnesota Timberwolves,99,Cleveland Cavaliers,125
Jan. 8,New Orleans Pelicans,86,Indiana Pacers,91
Jan. 8,Phoenix Suns,95,Miami Heat,103
Jan. 8,Portland Trail Blazers,108,Golden State Warriors,128
Jan. 8,San Antonio Spurs,100,New York Knicks,99
Jan. 8,Washington Wizards,88,Toronto Raptors,97
Jan. 9,Atlanta Hawks,120,Chicago Bulls,105
Jan. 9,Detroit Pistons,103,Brooklyn Nets,89
Jan. 9,Los Angeles Clippers,97,Charlotte Hornets,83
Jan. 9,Orlando Magic,99,Washington Wizards,105
Jan. 9,Philadelphia 76ers,95,Toronto Raptors,108
Jan. 9,Sacramento Kings,116,Golden State Warriors,128
Jan. 9,Utah Jazz,98,Miami Heat,83
Jan. 10,Denver Nuggets,95,Charlotte Hornets,92
Jan. 10,Houston Rockets,107,Indiana Pacers,103
Jan. 10,Los Angeles Clippers,114,New Orleans Pelicans,111
Jan. 10,Los Angeles Lakers,74,Utah Jazz,86
Jan. 10,Memphis Grizzlies,101,Boston Celtics,98
Jan. 10,Minnesota Timberwolves,87,Dallas Mavericks,93
Jan. 10,New York Knicks,100,Milwaukee Bucks,88
Jan. 10,Philadelphia 76ers,85,Cleveland Cavaliers,95
Jan. 10,Portland Trail Blazers,115,Oklahoma City Thunder,110
Jan. 11,Brooklyn Nets,79,San Antonio Spurs,106
Jan. 11,Chicago Bulls,100,Washington Wizards,114
Jan. 11,Golden State Warriors,111,Miami Heat,103
Jan. 12,Dallas Mavericks,107,Cleveland Cavaliers,110
Jan. 12,Detroit Pistons,99,San Antonio Spurs,109
Jan. 12,Indiana Pacers,116,Phoenix Suns,97
Jan. 12,Los Angeles Lakers,95,New Orleans Pelicans,91
Jan. 12,Memphis Grizzlies,91,Houston Rockets,107
Jan. 12,Milwaukee Bucks,106,Chicago Bulls,101
Jan. 12,Minnesota Timberwolves,96,Oklahoma City Thunder,101
Jan. 12,New York Knicks,120,Boston Celtics,114
Jan. 13,Boston Celtics,103,Indiana Pacers,94
Jan. 13,Brooklyn Nets,110,New York Knicks,104
Jan. 13,Charlotte Hornets,107,Atlanta Hawks,84
Jan. 13,Denver Nuggets,112,Golden State Warriors,110
Jan. 13,Houston Rockets,107,Minnesota Timberwolves,104
Jan. 13,Los Angeles Clippers,104,Miami Heat,90
Jan. 13,Oklahoma City Thunder,108,Dallas Mavericks,89
Jan. 13,Portland Trail Blazers,99,Utah Jazz,85
Jan. 13,Sacramento Kings,97,New Orleans Pelicans,109
Jan. 13,Washington Wizards,106,Milwaukee Bucks,101
Jan. 14,Golden State Warriors,116,Los Angeles Lakers,98
Jan. 14,Memphis Grizzlies,103,Detroit Pistons,101
Jan. 14,Orlando Magic,103,Toronto Raptors,106
Jan. 14,Philadelphia 76ers,111,Chicago Bulls,115
Jan. 14,San Antonio Spurs,99,Cleveland Cavaliers,95
Jan. 14,Utah Jazz,101,Sacramento Kings,103
Jan. 15,Boston Celtics,117,Phoenix Suns,103
Jan. 15,Brooklyn Nets,104,Portland Trail Blazers,116
Jan. 15,Chicago Bulls,77,Dallas Mavericks,83
Jan. 15,Denver Nuggets,95,Miami Heat,98
Jan. 15,Houston Rockets,77,Cleveland Cavaliers,91
Jan. 15,Indiana Pacers,104,Washington Wizards,118
Jan. 15,Milwaukee Bucks,108,Atlanta Hawks,101
Jan. 15,New Orleans Pelicans,109,Charlotte Hornets,107
Jan. 15,Oklahoma City Thunder,113,Minnesota Timberwolves,93
Jan. 16,Atlanta Hawks,114,Brooklyn Nets,86
Jan. 16,Charlotte Hornets,92,Milwaukee Bucks,105
Jan. 16,Detroit Pistons,113,Golden State Warriors,95
Jan. 16,Los Angeles Clippers,103,Sacramento Kings,110
Jan. 16,Memphis Grizzlies,103,New York Knicks,95
Jan. 16,Philadelphia 76ers,114,Portland Trail Blazers,89
Jan. 16,Utah Jazz,109,Los Angeles Lakers,82
Jan. 16,Washington Wizards,117,Boston Celtics,119
Jan. 17,Denver Nuggets,129,Indiana Pacers,126
Jan. 17,Los Angeles Lakers,95,Houston Rockets,112
Jan. 17,Minnesota Timberwolves,117,Phoenix Suns,87
Jan. 17,Oklahoma City Thunder,99,Miami Heat,74
Jan. 17,San Antonio Spurs,112,Dallas Mavericks,83
Jan. 18,Atlanta Hawks,98,Orlando Magic,81
Jan. 18,Charlotte Hornets,124,Utah Jazz,119
Jan. 18,Cleveland Cavaliers,98,Golden State Warriors,132
Jan. 18,Dallas Mavericks,118,Boston Celtics,113
Jan. 18,Detroit Pistons,101,Chicago Bulls,111
Jan. 18,Los Angeles Clippers,140,Houston Rockets,132
Jan. 18,Memphis Grizzlies,101,New Orleans Pelicans,99
Jan. 18,New York Knicks,119,Philadelphia 76ers,113
Jan. 18,Toronto Raptors,112,Brooklyn Nets,100
Jan. 18,Washington Wizards,98,Portland Trail Blazers,108
Jan. 19,Denver Nuggets,104,Oklahoma City Thunder,110
Jan. 19,Miami Heat,79,Milwaukee Bucks,91
Jan. 19,New Orleans Pelicans,114,Minnesota Timberwolves,99
Jan. 19,Phoenix Suns,94,Indiana Pacers,97
Jan. 20,Brooklyn Nets,78,Cleveland Cavaliers,91
Jan. 20,Chicago Bulls,94,Golden State Warriors,125
Jan. 20,Dallas Mavericks,106,Minnesota Timberwolves,94
Jan. 20,Houston Rockets,114,Detroit Pistons,123
Jan. 20,Los Angeles Lakers,93,Sacramento Kings,112
Jan. 20,New York Knicks,118,Utah Jazz,111
Jan. 20,Oklahoma City Thunder,109,Charlotte Hornets,95
Jan. 20,Orlando Magic,87,Philadelphia 76ers,96
Jan. 20,Portland Trail Blazers,98,Atlanta Hawks,104
Jan. 20,Toronto Raptors,115,Boston Celtics,109
Jan. 20,Washington Wizards,106,Miami Heat,87
Jan. 21,Cleveland Cavaliers,115,Los Angeles Clippers,102
Jan. 21,Denver Nuggets,101,Memphis Grizzlies,102
Jan. 21,New Orleans Pelicans,115,Detroit Pistons,99
Jan. 21,Phoenix Suns,89,San Antonio Spurs,117
Jan. 21,Sacramento Kings,91,Atlanta Hawks,88
Jan. 22,Boston Celtics,110,Chicago Bulls,101
Jan. 22,Brooklyn Nets,86,Utah Jazz,108
Jan. 22,Dallas Mavericks,106,Oklahoma City Thunder,109
Jan. 22,Golden State Warriors,122,Indiana Pacers,110
Jan. 22,Houston Rockets,102,Milwaukee Bucks,98
Jan. 22,Los Angeles Lakers,95,San Antonio Spurs,108
Jan. 22,New York Knicks,88,Los Angeles Clippers,116
Jan. 22,Orlando Magic,116,Charlotte Hornets,120
Jan. 22,Toronto Raptors,101,Miami Heat,81
Jan. 23,Charlotte Hornets,97,New York Knicks,84
Jan. 23,Cleveland Cavaliers,83,Chicago Bulls,96
Jan. 23,Denver Nuggets,104,Detroit Pistons,101
Jan. 23,Minnesota Timberwolves,106,Memphis Grizzlies,101
Jan. 23,New Orleans Pelicans,116,Milwaukee Bucks,99
Jan. 23,Phoenix Suns,98,Atlanta Hawks,95
Jan. 23,Portland Trail Blazers,121,Los Angeles Lakers,103
Jan. 23,Sacramento Kings,108,Indiana Pacers,97
Jan. 24,Brooklyn Nets,116,Oklahoma City Thunder,106
Jan. 24,Houston Rockets,115,Dallas Mavericks,104
Jan. 24,Philadelphia 76ers,92,Boston Celtics,112
Jan. 24,Toronto Raptors,112,Los Angeles Clippers,94
Jan. 25,Chicago Bulls,84,Miami Heat,89
Jan. 25,Cleveland Cavaliers,114,Minnesota Timberwolves,107
Jan. 25,Denver Nuggets,105,Atlanta Hawks,119
Jan. 25,Golden State Warriors,120,San Antonio Spurs,90
Jan. 25,Memphis Grizzlies,108,Orlando Magic,102
Jan. 25,New Orleans Pelicans,111,Houston Rockets,112
Jan. 25,Sacramento Kings,128,Charlotte Hornets,129
Jan. 25,Utah Jazz,92,Detroit Pistons,95
Jan. 25,Washington Wizards,91,Boston Celtics,116
Jan. 26,Brooklyn Nets,98,Miami Heat,102
Jan. 26,Indiana Pacers,89,Los Angeles Clippers,91
Jan. 26,Los Angeles Lakers,90,Dallas Mavericks,92
Jan. 26,Milwaukee Bucks,107,Orlando Magic,100
Jan. 26,New York Knicks,122,Oklahoma City Thunder,128
Jan. 26,Philadelphia 76ers,113,Phoenix Suns,103
Jan. 26,Portland Trail Blazers,112,Sacramento Kings,97
Jan. 26,Toronto Raptors,106,Washington Wizards,89
Jan. 27,Atlanta Hawks,83,Los Angeles Clippers,85
Jan. 27,Boston Celtics,111,Denver Nuggets,103
Jan. 27,Cleveland Cavaliers,115,Phoenix Suns,93
Jan. 27,Detroit Pistons,110,Philadelphia 76ers,97
Jan. 27,Golden State Warriors,127,Dallas Mavericks,107
Jan. 27,Minnesota Timberwolves,123,Oklahoma City Thunder,126
Jan. 27,San Antonio Spurs,130,Houston Rockets,99
Jan. 27,Utah Jazz,102,Charlotte Hornets,73
Jan. 28,Indiana Pacers,111,Atlanta Hawks,92
Jan. 28,Los Angeles Lakers,91,Chicago Bulls,114
Jan. 28,Memphis Grizzlies,103,Milwaukee Bucks,83
Jan. 28,New Orleans Pelicans,114,Sacramento Kings,105
Jan. 28,Toronto Raptors,103,New York Knicks,93
Jan. 28,Washington Wizards,113,Denver Nuggets,117
Jan. 29,Boston Celtics,113,Orlando Magic,94
Jan. 29,Dallas Mavericks,91,Brooklyn Nets,79
Jan. 29,Detroit Pistons,106,Cleveland Cavaliers,114
Jan. 29,Los Angeles Clippers,105,Los Angeles Lakers,93
Jan. 29,Milwaukee Bucks,103,Miami Heat,107
Jan. 29,New York Knicks,102,Phoenix Suns,84
Jan. 29,Oklahoma City Thunder,116,Houston Rockets,108
Jan. 29,Portland Trail Blazers,109,Charlotte Hornets,91
Jan. 29,Utah Jazz,103,Minnesota Timberwolves,90
Jan. 30,Cleveland Cavaliers,117,San Antonio Spurs,103
Jan. 30,Houston Rockets,122,Washington Wizards,123
Jan. 30,Indiana Pacers,109,Denver Nuggets,105
Jan. 30,Memphis Grizzlies,121,Sacramento Kings,117
Jan. 30,New Orleans Pelicans,105,Brooklyn Nets,103
Jan. 30,Philadelphia 76ers,105,Golden State Warriors,108
Jan. 30,Toronto Raptors,111,Detroit Pistons,107
Jan. 31,Dallas Mavericks,91,Phoenix Suns,78
Jan. 31,Los Angeles Clippers,120,Chicago Bulls,93
Jan. 31,Los Angeles Lakers,82,Charlotte Hornets,101
Jan. 31,Miami Heat,105,Atlanta Hawks,87
Jan. 31,New York Knicks,95,Golden State Warriors,116
Jan. 31,Orlando Magic,119,Boston Celtics,114
Jan. 31,Portland Trail Blazers,96,Minnesota Timberwolves,93
Feb. 1,Atlanta Hawks,112,Dallas Mavericks,97
Feb. 1,Brooklyn Nets,100,Detroit Pistons,105
Feb. 1,Denver Nuggets,112,Toronto Raptors,93
Feb. 1,Indiana Pacers,106,Cleveland Cavaliers,111
Feb. 1,New Orleans Pelicans,95,Memphis Grizzlies,110
Feb. 1,Oklahoma City Thunder,114,Washington Wizards,98
Feb. 1,Sacramento Kings,111,Milwaukee Bucks,104
Feb. 1,San Antonio Spurs,107,Orlando Magic,92
Feb. 1,Utah Jazz,105,Chicago Bulls,96
Feb. 2,Houston Rockets,115,Miami Heat,102
Feb. 2,Los Angeles Lakers,119,Minnesota Timberwolves,115
Feb. 2,New York Knicks,89,Boston Celtics,97
Feb. 2,Phoenix Suns,97,Toronto Raptors,104
Feb. 2,Portland Trail Blazers,107,Milwaukee Bucks,95
Feb. 3,Boston Celtics,102,Detroit Pistons,95
Feb. 3,Brooklyn Nets,100,Indiana Pacers,114
Feb. 3,Charlotte Hornets,106,Cleveland Cavaliers,97
Feb. 3,Dallas Mavericks,90,Miami Heat,93
Feb. 3,Los Angeles Clippers,102,Minnesota Timberwolves,108
Feb. 3,Oklahoma City Thunder,117,Orlando Magic,114
Feb. 3,Philadelphia 76ers,86,Atlanta Hawks,124
Feb. 3,Sacramento Kings,102,Chicago Bulls,107
Feb. 3,San Antonio Spurs,110,New Orleans Pelicans,97
Feb. 3,Utah Jazz,85,Denver Nuggets,81
Feb. 3,Washington Wizards,121,Golden State Warriors,134
Feb. 4,Detroit Pistons,111,New York Knicks,105
Feb. 4,New Orleans Pelicans,96,Los Angeles Lakers,99
Feb. 4,Phoenix Suns,105,Houston Rockets,111
Feb. 4,Portland Trail Blazers,103,Toronto Raptors,110
Feb. 5,Atlanta Hawks,102,Indiana Pacers,96
Feb. 5,Brooklyn Nets,128,Sacramento Kings,119
Feb. 5,Charlotte Hornets,95,Miami Heat,98
Feb. 5,Cleveland Cavaliers,103,Boston Celtics,104
Feb. 5,Dallas Mavericks,90,San Antonio Spurs,116
Feb. 5,Denver Nuggets,115,Chicago Bulls,110
Feb. 5,New York Knicks,85,Memphis Grizzlies,91
Feb. 5,Orlando Magic,93,Los Angeles Clippers,107
Feb. 5,Utah Jazz,84,Milwaukee Bucks,81
Feb. 5,Washington Wizards,106,Philadelphia 76ers,94
Feb. 6,Charlotte Hornets,108,Washington Wizards,104
Feb. 6,Cleveland Cavaliers,99,New Orleans Pelicans,84
Feb. 6,Golden State Warriors,116,Oklahoma City Thunder,108
Feb. 6,Houston Rockets,79,Portland Trail Blazers,96
Feb. 6,Indiana Pacers,112,Detroit Pistons,104
Feb. 6,Memphis Grizzlies,110,Dallas Mavericks,114
Feb. 6,Minnesota Timberwolves,112,Chicago Bulls,105
Feb. 6,Philadelphia 76ers,103,Brooklyn Nets,98
Feb. 6,Phoenix Suns,89,Utah Jazz,98
Feb. 6,San Antonio Spurs,106,Los Angeles Lakers,102
Feb. 7,Boston Celtics,128,Sacramento Kings,119
Feb. 7,Miami Heat,93,Los Angeles Clippers,100
Feb. 7,New York Knicks,96,Denver Nuggets,101
Feb. 7,Orlando Magic,96,Atlanta Hawks,94
Feb. 8,Atlanta Hawks,110,Orlando Magic,117
Feb. 8,Brooklyn Nets,105,Denver Nuggets,104
Feb. 8,Charlotte Hornets,108,Chicago Bulls,91
Feb. 8,Cleveland Cavaliers,120,Sacramento Kings,100
Feb. 8,Detroit Pistons,89,Toronto Raptors,103
Feb. 8,Indiana Pacers,89,Los Angeles Lakers,87
Feb. 8,Memphis Grizzlies,106,Portland Trail Blazers,112
Feb. 8,Minnesota Timberwolves,102,New Orleans Pelicans,116
Feb. 8,Philadelphia 76ers,92,Los Angeles Clippers,98
Feb. 8,Phoenix Suns,106,Oklahoma City Thunder,122
Feb. 9,Dallas Mavericks,119,Utah Jazz,121
Feb. 9,Golden State Warriors,123,Houston Rockets,110
Feb. 9,Miami Heat,101,San Antonio Spurs,119
Feb. 9,Milwaukee Bucks,112,Boston Celtics,111
Feb. 9,New York Knicks,108,Washington Wizards,111
Feb. 10,Boston Celtics,139,Los Angeles Clippers,134
Feb. 10,Brooklyn Nets,90,Memphis Grizzlies,109
Feb. 10,Chicago Bulls,90,Atlanta Hawks,113
Feb. 10,Cleveland Cavaliers,120,Los Angeles Lakers,111
Feb. 10,Detroit Pistons,92,Denver Nuggets,103
Feb. 10,Indiana Pacers,95,Charlotte Hornets,117
Feb. 10,Minnesota Timberwolves,117,Toronto Raptors,112
Feb. 10,New Orleans Pelicans,100,Utah Jazz,96
Feb. 10,Orlando Magic,96,San Antonio Spurs,98
Feb. 10,Philadelphia 76ers,110,Sacramento Kings,114
Feb. 10,Phoenix Suns,104,Golden State Warriors,112
Feb. 10,Portland Trail Blazers,116,Houston Rockets,103
Feb. 11,Milwaukee Bucks,99,Washington Wizards,92
Feb. 11,Oklahoma City Thunder,121,New Orleans Pelicans,95
Feb. 18,Cleveland Cavaliers,106,Chicago Bulls,95
Feb. 18,Los Angeles Clippers,105,San Antonio Spurs,86
Feb. 18,Washington Wizards,103,Utah Jazz,89
Feb. 19,Atlanta Hawks,111,Miami Heat,115
Feb. 19,Brooklyn Nets,109,New York Knicks,98
Feb. 19,Chicago Bulls,116,Toronto Raptors,106
Feb. 19,Los Angeles Lakers,113,San Antonio Spurs,119
Feb. 19,Memphis Grizzlies,109,Minnesota Timberwolves,104
Feb. 19,Milwaukee Bucks,95,Charlotte Hornets,98
Feb. 19,New Orleans Pelicans,121,Philadelphia 76ers,114
Feb. 19,Oklahoma City Thunder,98,Indiana Pacers,101
Feb. 19,Orlando Magic,110,Dallas Mavericks,104
Feb. 19,Phoenix Suns,100,Houston Rockets,116
Feb. 19,Portland Trail Blazers,137,Golden State Warriors,105
Feb. 19,Sacramento Kings,116,Denver Nuggets,110
Feb. 19,Utah Jazz,111,Boston Celtics,93
Feb. 19,Washington Wizards,98,Detroit Pistons,86
Feb. 20,Atlanta Hawks,109,Milwaukee Bucks,117
Feb. 20,Los Angeles Clippers,112,Golden State Warriors,115
Feb. 20,Miami Heat,114,Washington Wizards,94
Feb. 20,Minnesota Timberwolves,95,New York Knicks,103
Feb. 21,Brooklyn Nets,96,Charlotte Hornets,104
Feb. 21,Chicago Bulls,126,Los Angeles Lakers,115
Feb. 21,Dallas Mavericks,129,Philadelphia 76ers,103
Feb. 21,Denver Nuggets,101,Boston Celtics,121
Feb. 21,Detroit Pistons,106,New Orleans Pelicans,111
Feb. 21,Oklahoma City Thunder,92,Cleveland Cavaliers,115
Feb. 21,Orlando Magic,102,Indiana Pacers,105
Feb. 21,Phoenix Suns,111,San Antonio Spurs,118
Feb. 21,Portland Trail Blazers,115,Utah Jazz,111
Feb. 21,Toronto Raptors,98,Memphis Grizzlies,85
Feb. 22,Atlanta Hawks,92,Golden State Warriors,102
Feb. 22,Cleveland Cavaliers,88,Detroit Pistons,96
Feb. 22,Los Angeles Clippers,124,Phoenix Suns,84
Feb. 22,Miami Heat,101,Indiana Pacers,93
Feb. 22,Milwaukee Bucks,108,Los Angeles Lakers,101
Feb. 22,Minnesota Timberwolves,124,Boston Celtics,122
Feb. 22,New York Knicks,95,Toronto Raptors,122
Feb. 23,Denver Nuggets,110,Sacramento Kings,114
Feb. 23,Philadelphia 76ers,115,Orlando Magic,124
Feb. 23,Portland Trail Blazers,112,Brooklyn Nets,104
Feb. 23,Utah Jazz,117,Houston Rockets,114
Feb. 23,Washington Wizards,109,New Orleans Pelicans,89
Feb. 24,Chicago Bulls,109,Washington Wizards,104
Feb. 24,Cleveland Cavaliers,114,Charlotte Hornets,103
Feb. 24,Dallas Mavericks,103,Oklahoma City Thunder,116
Feb. 24,Detroit Pistons,111,Philadelphia 76ers,91
Feb. 24,Indiana Pacers,108,New York Knicks,105
Feb. 24,Los Angeles Clippers,81,Denver Nuggets,87
Feb. 24,Memphis Grizzlies,128,Los Angeles Lakers,119
Feb. 24,Miami Heat,112,Golden State Warriors,118
Feb. 24,Sacramento Kings,92,San Antonio Spurs,108
Feb. 24,Toronto Raptors,114,Minnesota Timberwolves,105
Feb. 25,Boston Celtics,112,Milwaukee Bucks,107
Feb. 25,New Orleans Pelicans,123,Oklahoma City Thunder,119
Feb. 25,Orlando Magic,114,Golden State Warriors,130
Feb. 25,Phoenix Suns,106,Brooklyn Nets,116
Feb. 25,Portland Trail Blazers,105,Houston Rockets,119
Feb. 25,Utah Jazz,78,San Antonio Spurs,96
Feb. 26,Atlanta Hawks,103,Chicago Bulls,88
Feb. 26,Dallas Mavericks,122,Denver Nuggets,116
Feb. 26,Indiana Pacers,95,Charlotte Hornets,96
Feb. 26,Los Angeles Lakers,95,Memphis Grizzlies,112
Feb. 26,New York Knicks,108,Orlando Magic,95
Feb. 26,Philadelphia 76ers,94,Washington Wizards,103
Feb. 26,Sacramento Kings,107,Los Angeles Clippers,117
Feb. 26,Toronto Raptors,99,Cleveland Cavaliers,97
Feb. 27,Boston Celtics,101,Miami Heat,89
Feb. 27,Chicago Bulls,95,Portland Trail Blazers,103
Feb. 27,Houston Rockets,94,San Antonio Spurs,104
Feb. 27,Milwaukee Bucks,91,Detroit Pistons,102
Feb. 27,New Orleans Pelicans,110,Minnesota Timberwolves,112
Feb. 27,Oklahoma City Thunder,118,Golden State Warriors,121
Feb. 27,Phoenix Suns,111,Memphis Grizzlies,106
Feb. 27,Utah Jazz,96,Brooklyn Nets,98
Feb. 28,Atlanta Hawks,87,Charlotte Hornets,76
Feb. 28,Dallas Mavericks,128,Minnesota Timberwolves,101
Feb. 28,Detroit Pistons,114,Toronto Raptors,101
Feb. 28,Indiana Pacers,102,Portland Trail Blazers,111
Feb. 28,New York Knicks,81,Miami Heat,98
Feb. 28,Orlando Magic,130,Philadelphia 76ers,116
Feb. 28,Washington Wizards,113,Cleveland Cavaliers,99
Feb. 29,Boston Celtics,100,Utah Jazz,95
Feb. 29,Cleveland Cavaliers,100,Indiana Pacers,96
Feb. 29,Denver Nuggets,96,Memphis Grizzlies,103
Feb. 29,Los Angeles Clippers,105,Brooklyn Nets,95
Feb. 29,Milwaukee Bucks,128,Houston Rockets,121
Feb. 29,Sacramento Kings,116,Oklahoma City Thunder,131
Feb. 29,Washington Wizards,116,Philadelphia 76ers,108
Mar. 1,Charlotte Hornets,126,Phoenix Suns,92
Mar. 1,Dallas Mavericks,121,Orlando Magic,108
Mar. 1,Golden State Warriors,109,Atlanta Hawks,105
Mar. 1,Los Angeles Lakers,107,Brooklyn Nets,101
Mar. 1,Miami Heat,129,Chicago Bulls,111
Mar. 1,New York Knicks,85,Portland Trail Blazers,104
Mar. 2,Boston Celtics,116,Portland Trail Blazers,93
Mar. 2,Denver Nuggets,117,Los Angeles Lakers,107
Mar. 2,Houston Rockets,100,New Orleans Pelicans,95
Mar. 2,Los Angeles Clippers,103,Oklahoma City Thunder,98
Mar. 2,Memphis Grizzlies,104,Sacramento Kings,98
Mar. 2,Milwaukee Bucks,99,Indiana Pacers,104
Mar. 2,Minnesota Timberwolves,98,Washington Wizards,104
Mar. 2,Orlando Magic,102,Chicago Bulls,89
Mar. 2,Philadelphia 76ers,99,Charlotte Hornets,119
Mar. 2,San Antonio Spurs,97,Detroit Pistons,81
Mar. 2,Toronto Raptors,104,Utah Jazz,94
Mar. 3,Dallas Mavericks,101,Sacramento Kings,104
Mar. 3,Golden State Warriors,121,Oklahoma City Thunder,106
Mar. 3,Miami Heat,108,Phoenix Suns,92
Mar. 3,New Orleans Pelicans,86,San Antonio Spurs,94
Mar. 4,Boston Celtics,105,New York Knicks,104
Mar. 4,Charlotte Hornets,108,Indiana Pacers,101
Mar. 4,Cleveland Cavaliers,108,Washington Wizards,83
Mar. 4,Denver Nuggets,120,Brooklyn Nets,121
Mar. 4,Los Angeles Lakers,77,Atlanta Hawks,106
Mar. 4,Memphis Grizzlies,94,Utah Jazz,88
Mar. 4,Milwaukee Bucks,116,Minnesota Timberwolves,101
Mar. 4,Orlando Magic,84,Phoenix Suns,102
Mar. 4,Philadelphia 76ers,102,Miami Heat,112
Mar. 4,Toronto Raptors,117,Portland Trail Blazers,115
Mar. 5,Chicago Bulls,108,Houston Rockets,100
